artist_name,spotify_artist_id,sample_genre,song_count,lastfm_top_tags,refined_bucket,refined_confidence,refined_reason,manual_bucket,notes
Flatfoot 56,7eQrNqwmiIvFKEMvHRvPLB,punk,12,celtic punk | folk punk | punk | celtic | punk rock | Oi | christian | folk,christian,medium,christian tag in lastfm tags,,
For Today,3xvHWAD1Bz6vvVmVMPpZJs,metal,2,metalcore | hardcore | christian | Christian Metalcore | melodic hardcore | deathcore | melodic metalcore | american,christian,medium,christian tag plus sample genre,,
From Indian Lakes,3YvQkjWJ5ykJVUNP7YbTy9,,22,indie rock | indie | alternative | rock | post-rock | emo | alternative rock | christian,christian,medium,christian tag in lastfm tags,,
Further Seems Forever,1Enp9WKfk0aI9CFi2YGBq7,punk,1,emo | rock | alternative | indie | christian | indie rock | alternative rock | post-hardcore,christian,medium,christian tag in lastfm tags,,
Galkin Evangelistic Team,2cw7QQfN0zs6QUUGvhYp56,,2,christian | Sacred | conservative,christian,medium,christian tag in lastfm tags,,
gavn!,2pQzh5cuuqpDErGZNaOULd,rap,1,pop | USA | christian | Sad rap,christian,medium,christian tag plus sample genre,,
General Ghost,6jd6gjhHdHTnDImmOombpK,,1,General Ghost | pop | christian | Kyle Rictor | indie | Scene | alternative | jon howard,christian,medium,christian tag in lastfm tags,,
Greg Long,5sNQ41zKRWQn76VcLQHZvY,,1,ambient | christian | Smooth Jazz | male vocalists | ucb uk | Christian Music,christian,medium,christian tag in lastfm tags,,
Hamilton Family,33MBpsR0NDVam8humLvr8l,,2,Family Gospel | christian,christian,medium,christian tag in lastfm tags,,
Haste The Day,7voCqDg5xgF1LZFrmbPS7w,metal,5,metalcore | hardcore | christian | screamo | metal | Christian Metalcore | melodic metalcore | post-hardcore,christian,medium,christian tag plus sample genre,,
Humming House,6ls2l3WdMnYWKS0WQKghHK,pop,2,folk | christian | indie folk | sxsw 2015,christian,medium,christian tag plus sample genre,,
Huntingtons,6HL0EdN1uN2ZdaLHYh5WcG,punk,1,punk rock | pop punk | punk | ramonescore | spotify | american | christian | Pop-punk,christian,medium,christian tag in lastfm tags,,
Hymns on Piano,32DWM2tctxuDatAYWHjCtC,,31,piano | christian,christian,medium,christian tag in lastfm tags,,
Icon For Hire,1Jy0lTKAQDnTklKzF0g2o7,alternative,28,alternative rock | female vocalists | rock | hard rock | alternative | alternative metal | american | christian,christian,medium,christian tag plus sample genre,,
Jason James,4a1s7Yutn16VXLKfchhG0X,country,1,country | electronic | USA | christian | sxsw 2017,christian,medium,christian tag plus sample genre,,
Jean-Claude Gianadda,2UzAhNdeDt0GQIgtP2nhX8,,2,french | france | catholic | christian | under 2000 listeners,christian,medium,christian tag in lastfm tags,,
Jenny & Tyler,18FojbNFtWY8HKOMVSA2K4,pop,18,acoustic | kgrl | indie | folk | christian | female vocalists | alt folk | sweet duo,christian,medium,christian tag plus sample genre,,
Jervis Campbell,31Bh5G3Q9JzwqPpHDLIQtW,pop,20,christian | folk | blues | soul | indie | singer-songwriter | alternative | funk_add_to_lidarr_batch_13,christian,medium,christian tag plus sample genre,,
Joe Brooks,6Z8D437D8u4IdirS4Jc58d,pop,14,acoustic | singer-songwriter | pop | soul | male vocalists | british | christian | indie,christian,medium,christian tag plus sample genre,,
Joe Mullins & The Radio Ramblers,1nlVHZslyaaNB0p5SUJe17,,1,USA | bluegrass | christian,christian,medium,christian tag in lastfm tags,,
Jon Foreman,5D3h9ZoobhetjXw3dKhcaq,pop,45,acoustic | christian | folk | singer-songwriter | alternative | indie | Mellow | male vocalists,christian,medium,christian tag plus sample genre,,
