file_name,file_path,title,author,key,reason
between you and me i96675,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\between you and me i96675,Between You And Me,DC Talk,Am,missing_chords
beulah land i104216,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\beulah land i104216,Beulah Land,,D,missing_author
bigger than any mountain i64574,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bigger than any mountain i64574,Bigger Than Any Mountain,,A,"missing_author,missing_chords"
bless the broken road i91903,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bless the broken road i91903,Bless the Broken Road,,G,missing_author
bless the lord oh my soul i96982,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bless the lord oh my soul i96982,BLESS THE LORD OH MY SOUL,,,"missing_author,missing_chords"
blessed are you adonai i97424,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed are you adonai i97424,Blessed Are You Adonai,Oxana Eliahu,,missing_chords
blessed assurance i105429,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed assurance i105429,Blessed Assurance,,C,missing_author
blessed be i64495,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed be i64495,Blessed be,,D,missing_author
blessed be the name of the lord i14442,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed be the name of the lord i14442,Blessed Be The Name of The Lord,,,"missing_author,missing_chords"
blessed jesus at thy word i11074,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed jesus at thy word i11074,Blessed Jesus at Thy Word,"Ahle, Johann Rudolph (1625-1673), Clausnitzer, Tobias (1619-1684)",G,missing_chords
blessed redeemer full of compassion i108733,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed redeemer full of compassion i108733,Blessed Redeemer Full of Compassion,,G,missing_author
blest be the tie that binds i7122,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blest be the tie that binds i7122,Blest Be The Tie That Binds,"Mason, Lowell (1792-1872), Fawcett, John (1740-1817)",C,missing_chords
blow the trumpet in zion i64235,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blow the trumpet in zion i64235,Blow The Trumpet in Zion,,Cm,"missing_author,missing_chords"
boldly i approach i108407,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\boldly i approach i108407,Boldly I Approach,"Chris Llewellyn, Gareth Gilkeson",,missing_chords
bones i106013,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bones i106013,Bones,,,"missing_author,missing_chords"
bones i42658,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bones i42658,Bones,,,"missing_author,missing_chords"
born again i60164,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\born again i60164,Born again,Karen Marra,,missing_chords
born again i64000,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\born again i64000,Born Again,,,"missing_author,missing_chords"
born again i64645,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\born again i64645,Born again,,E,"missing_author,missing_chords"
born to serve the lord i99142,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\born to serve the lord i99142,Born to Serve the Lord,,,"missing_author,missing_chords"
born unto us this day a savior i54627,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\born unto us this day a savior i54627,Born unto us this day a Savior,Hillsong Worship,,missing_chords
bound for the promised land i64361,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bound for the promised land i64361,Bound For The Promised Land,,C,missing_author
bound to see i51868,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bound to see i51868,Bound To See,,,"missing_author,missing_chords"
brave surrender i54439,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\brave surrender i54439,Brave Surrender,,,"missing_author,missing_chords"
break our hearts i42037,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\break our hearts i42037,Break Our Hearts,,G,missing_author
breaking through i46921,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\breaking through i46921,Breaking Through,Bethel Music,,missing_chords
breakthrough i87828,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\breakthrough i87828,Breakthrough,Korey Miller,,missing_chords
breathe on me breath of god i6991,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\breathe on me breath of god i6991,"Breathe on Me, Breath of God","from John Chetham's Psalmody, 1718, Hatch, Edwin (1835-1889)",Ab,missing_chords
bright as the sun i96530,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bright as the sun i96530,Bright as the sun,Joel Houston,,missing_chords
brighten the corner where you are i7667,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\brighten the corner where you are i7667,Brighten the corner where you are,,,"missing_author,missing_chords"
