artist_name,spotify_artist_id,sample_genre,christian_signal,suggested_bucket,manual_bucket,notes,song_count
Kyle Selig,0qiFtC52T37zXjHl0DDMAr,,,review,,,1
Kenza Farah,6WBf0WXqyBkCCYAEPUeDxn,pop,,review,,,1
Ellie Williams,5iHLwkkEmDSXpnyJR1jNJs,,,review,,,3
The Unseen,6xEMoIJbN8zgmMpv6Nzt5Z,punk,,review,,,3
BRONSON,60yfafz0P3gqaUaOUIddae,,,review,,,2
Pete Yorn,5l2EAkfckNPYZbEDbQtEkO,alternative,,review,,,19
Hoku,7ftZLBtMuNBXnnDFKbAblK,pop,,review,,,2
Jon Batiste,0eRbECAGCLLiTyVXPBRexU,jazz,,review,,,1
Archive,1Q776wzj2mrtXrNu3iH6nk,rap,,review,,,22
Steve Kekana,69kCTJwpVKPousSTrBY78R,jazz,,review,,,1
Cilla Black,3bCvHtuIXWXPbCMdSYudmZ,pop rock,,review,,,4
The California Honeydrops,21t0aavYGSGFkYYFhu6urk,alternative,,review,,,5
Bobby Rydell,4hJTgr1adnhIkhmD9jLzd6,pop rock,,review,,,8
Iggy Pop,33EUXrFKGjpUSGacqEHhU4,rock,,review,,,15
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,pop,,review,,,10
The Troggs,57xdnSVt4ahJCIXYLieQ25,,,review,,,1
Los Mustang,6kSZSrOpxBGJsFxIES8gRw,,,review,,,1
Moonica Mac,4EeCKtQAywZzC578wwGp1n,pop,,review,,,2
The Secret Handshake,24WD4syZasIzg6XVENc0FD,pop rock,,review,,,1
Vague003,6dJ1iY51ZgNt93gelvdF3k,rap,,review,,,1
Siskiyou,65gRCvMggINJZs3DgzCOtK,country,,review,,,1
Maurette Brown Clark,6SGhROQYSIxgiCvxfXfp4p,,,review,,,3
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,rap,,review,,,41
Secret Garden,6GUg2fRLklsnSJsG3PrTt0,pop,,review,,,9
Ruelle,5tIkXJTex4JY7cv9mmgAZx,pop,,review,,,10
Ryan Stevenson,1rxhmvc4pue9A2fEXnLT97,rock,,review,,,8
Blind Guardian,7jxJ25p0pPjk0MStloN6o6,metal,,review,,,11
Peter Doran,7qG3Idm5VH8qGnIYpSqnGL,alternative,,review,,,1
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,rap,,review,,,16
Celldweller,4BKyei61gtyDFxlKhcvBJJ,rock,,review,,,5
D-Block Europe,5VadK1havLhK1OpKYsXv9y,rap,,review,,,1
Scars On 45,5ltIfb6fKhN2sxGic1WRWy,alternative,,review,,,9
sadeyes,5fj4oi7qHDoklvnnYmSBl0,rap,,review,,,12
Rhett Walker,4ImxhwjNOz0es0voxGHCoP,rock,,review,,,5
Fort Minor,7dWYWUbO68rXJOcyA7SpJk,rock,,review,,,2
The Subways,4BntNFyiN3VGG4hhRRZt9d,rock,,review,,,1
Whee In,0BqRGrwqndrtNkojXiqIzL,pop,,review,,,1
The White Tie Affair,4lmpEOYpB8yNe8buBDP5vF,pop rock,,review,,,1
As Blood Runs Black,4LjQpQc5NB5G02zqfEIex7,metal,,review,,,1
The Exies,5V5NZ8y72BgxpB6rN4XxtI,,,review,,,3
Gruff Rhys,0dLSQG3IV62UNVhWUe6mx6,pop rock,,review,,,1
Horisont,1tPw1T8FYkf9GoxQeTzIgU,metal,,review,,,1
Gesang,18hMpGu48kBPQyGARDjqkY,,,review,,,1
Meddy,1WryFbMe3DuToQGFN6Ke64,pop,,review,,,1
Joe Cocker,3pFCERyEiP5xeN2EsPXhjI,rock,,review,,,7
Manolo Escobar,0Zt1X6eSDuttQS3JHIyCvZ,,,review,,,1
The Hoppers,76De3CbnkyCKbNg5vDSqI7,,,review,,,2
Patrice,1fBcQOi8yEfWN7fknMoqIE,reggae,,review,,,2
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,country,,review,,,17
