title,artist,song_key,display_key,intro,pre_chorus,chorus,bridge,outro,full_progression
When You Walk In The Room,Kari Jobe,E,E,,,1 4 1 4,,,1 4 1 4
You Are Good,Kari Jobe,A,A,1 5 6m 4,,5 1 5 6m 5 4 5 1 5 6m 4 6m 4 1 5 6m 4 1 5 6m 4 6m 4,,,1 5 6m 4 5 1 5 6m 5 4 5 1 5 6m 4 6m 4 1 5 6m 4 1 5 6m 4 6m 4
A Mi Corazón Tranquilizarás,Kari Jobe,G,G,1 5 3m 4 1 4 1 4 1 4 6m 5 4 1 5 3m 4 1 5 3m 4 1 5 6m 4 1 4 1 4 6m 5 4 1 5 3m 4 1 5 3m 4 1 5 6m 4,,,,,1 5 3m 4 1 4 1 4 1 4 6m 5 4 1 5 3m 4 1 5 3m 4 1 5 6m 4 1 4 1 4 6m 5 4 1 5 3m 4 1 5 3m 4 1 5 6m 4
A Ti Correré,Kari Jobe,G,G,1 5 1 6m 1 4 5 6m 5 4 5 1 5 6 4 2m 5 4 5 6m 1 4 5 6m 5 4 5 1 5 6 4 2m 5 4 5 4 5 4 5 1 5 6 4 2m 5 4 5 1 5 2 6m 4 2 1 5 1 2,,,,,1 5 1 6m 1 4 5 6m 5 4 5 1 5 6 4 2m 5 4 5 6m 1 4 5 6m 5 4 5 1 5 6 4 2m 5 4 5 4 5 4 5 1 5 6 4 2m 5 4 5 1 5 2 6m 4 2 1 5 1 2
Adore Him,Kari Jobe,Eb,Eb,,6m 5 4 5 4 5 4 6m 5 4 5 4 5 4 4 4 4 4,6m 5 4 5 4 5 4 6m 5 4 5 4 5 4 4 4 4 4 1 1 5 1 2m 6m b7 4 4 4 1 1 1 4 1 1 1 4 6m 5 4 5 4 5 4 6m 5 4 5 4 5 4 4 4 4 4 1 1 5 1 2m 6m b7 4 4 4 6m 5 4 5 4 5 4 4 4 4 5 1 5 1 1 1 4,,,6m 5 4 5 4 5 4 6m 5 4 5 4 5 4 4 4 4 4 6m 5 4 5 4 5 4 6m 5 4 5 4 5 4 4 4 4 4 1 1 5 1 2m 6m b7 4 4 4 1 1 1 4 1 1 1 4 6m 5 4 5 4 5 4 6m 5 4 5 4 5 4 4 4 4 4 1 1 5 1 2m 6m b7 4 4 4 6m 5 4 5 4 5 4 4 4 4 5 1 5 1 1 1 4
Adore Him,Kari Jobe,E,E,,,6m 5 5 5 4 6m 5 5 5 4 4 4 4 1 1 5 1 2m 6m 6 4 4 4 1 1 4 1 1 4 6m 5 5 5 4 6m 5 5 5 4 4 4 4 1 1 5 1 2m 6m 6 4 4 4 6m 5 5 5 4 4 4 5 1 5 1 1 4,,,6m 5 5 5 4 6m 5 5 5 4 4 4 4 1 1 5 1 2m 6m 6 4 4 4 1 1 4 1 1 4 6m 5 5 5 4 6m 5 5 5 4 4 4 4 1 1 5 1 2m 6m 6 4 4 4 6m 5 5 5 4 4 4 5 1 5 1 1 4
All To Jesus I Surrender,Kari Jobe,F,F,1 1 4 1 5 1 5 6m 1 4 1 5 1 4,,1 1 1 4 1 4 5 1 4 1 4 1 6m 5 4 1 b6 5 1 4 1 1 1 4 1 4 5 1 4 1 4 1 6m 5 4 1 b6 5 1 4 1 1 1 4 1 4 5 1 4 1 4 1 6m 5 4 1 b6 5 1 4 1 4 1,,,1 1 4 1 5 1 5 6m 1 4 1 5 1 4 1 1 1 4 1 4 5 1 4 1 4 1 6m 5 4 1 b6 5 1 4 1 1 1 4 1 4 5 1 4 1 4 1 6m 5 4 1 b6 5 1 4 1 1 1 4 1 4 5 1 4 1 4 1 6m 5 4 1 b6 5 1 4 1 4 1
Always Enough,Kari Jobe,D,D,1 5 6m,,4 1 6m 5 4 1 6m 5,1 4 1 1 4 4,,1 5 6m 4 1 6m 5 4 1 6m 5 1 4 1 1 4 4
Anchor,Kari Jobe,Bm,D,6m 5 4 6m 5 4,6m 5 5 4 6m 5 4 5,6m 5 5 4 6m 5 4 5 1 5 6m 4 1 5 2m 4 6m 5 5 4 6m 5 4 5 1 5 6m 4 1 5 2m 4 1 5 6m 4 1 5 2m 4 1 5 6m 4 1 5 2m 4,1 5 6m 4 1 5 2m 4 1 5 6m 4 1 5 2m 4,,6m 5 4 6m 5 4 6m 5 5 4 6m 5 4 5 6m 5 5 4 6m 5 4 5 1 5 6m 4 1 5 2m 4 6m 5 5 4 6m 5 4 5 1 5 6m 4 1 5 2m 4 1 5 6m 4 1 5 2m 4 1 5 6m 4 1 5 2m 4 1 5 6m 4 1 5 2m 4 1 5 6m 4 1 5 2m 4
Be Still,Kari Jobe,F,F,,,1 b6 5 4 2m 1 5 1 5 5m b7 2m b6 5 1 5 4 1 5 4 b6 5 5 1 5 4 1 4 b6 5 1 5 4 1 2m b6 5 1 4 4 4m,,,1 b6 5 4 2m 1 5 1 5 5m b7 2m b6 5 1 5 4 1 5 4 b6 5 5 1 5 4 1 4 b6 5 1 5 4 1 2m b6 5 1 4 4 4m
Be Still My Soul In You I Rest,Kari Jobe,C,C,,,b3 2 1 5 b3 2 1 5 b3 2 1 5 1 2 5,,,b3 2 1 5 b3 2 1 5 b3 2 1 5 1 2 5
Bello Bello,Kari Jobe,B,B,1 b6 b3 b7 4 7 6 3 b2 b6 b2 b6 b2 b6 b2 b6 #4 7 #4 7 #4 7 #4 5 b6 6 b7 b7 7 b6 6 7 6m 6 3 b2m b6m b2m b6 7 6m 6 3 b2m b6m b2m b6 b2m b6m b2m b6 b2m b6m b2m b6 b2m b6m b2m b6 b7 7 b6 6 #4 7 #4 7 #4 7 #4 7 #4 5 b6 6 b7 3,,,,,1 b6 b3 b7 4 7 6 3 b2 b6 b2 b6 b2 b6 b2 b6 #4 7 #4 7 #4 7 #4 5 b6 6 b7 b7 7 b6 6 7 6m 6 3 b2m b6m b2m b6 7 6m 6 3 b2m b6m b2m b6 b2m b6m b2m b6 b2m b6m b2m b6 b2m b6m b2m b6 b7 7 b6 6 #4 7 #4 7 #4 7 #4 7 #4 5 b6 6 b7 3
Breathe On Us,Kari Jobe,E,E,1,,1 6m 4 1 6m 5 4 6m 5 1 6m 4 1 6m 4 1,6m 4 1 5 4,,1 1 6m 4 1 6m 5 4 6m 5 1 6m 4 1 6m 4 1 6m 4 1 5 4
Cancion De Revelacion,Kari Jobe,D,D,1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4,,1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4,1 5m b7 4 1 5m b7 4,,1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4
Closer To Your Heart,Kari Jobe,Bbm,C#,6m 4 1 6m 4 1,,6m 4 4 1 1 5 6m 4 4 1 1 5,6m 6m 1 5 6m 6m 1 5,,6m 4 1 6m 4 1 6m 4 4 1 1 5 6m 4 4 1 1 5 6m 6m 1 5 6m 6m 1 5
Come Alive,Kari Jobe,C#m,E,6m 5 4,,4 1 5 1 4 6m 5,4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1,,6m 5 4 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1
Ehre Sei Dem Vater,Kari Jobe,Em,G,,,1 5 6m 1 5 6m 1 5 6m 4 5 6m 1 5 6m,1 5 6m 4 5 6m 1 5 6m 4 5 6m 1 5 6m,,1 5 6m 1 5 6m 1 5 6m 4 5 6m 1 5 6m 1 5 6m 4 5 6m 1 5 6m 4 5 6m 1 5 6m
Everyone Needs A Little,Kari Jobe,E,E,,,b7 1m b7 1m b3 b7 1m b7 1m b3 b7 b3 b7 b3 b7 1m b7 1m b3 b7 1m b7 1m b3 b7 1m b3 b7 4 1m b7 b3,,,b7 1m b7 1m b3 b7 1m b7 1m b3 b7 b3 b7 b3 b7 1m b7 1m b3 b7 1m b7 1m b3 b7 1m b3 b7 4 1m b7 b3
Fall Afresh,Kari Jobe,Bm,D,6m 4 1 6m 4 1,,4 5 6m 5 1 4 5 6m 4 1,1 5 6m 1 5 6m,,6m 4 1 6m 4 1 4 5 6m 5 1 4 5 6m 4 1 1 5 6m 1 5 6m
Find You On My Knees,Kari Jobe,G,G,1 2,,1 5 2 1 5 3m 5 2 1 5 2 1 5 2 1 3m 2 1 5 3m 5 2 1 5 2 1 5 2 1 3m 3m 2 1 5 3m 5 2 1 5 2 1 5 2 1 5 3m 2 1 5 3m 2,1 5 3m 2 1 5 3m 2 1,,1 2 1 5 2 1 5 3m 5 2 1 5 2 1 5 2 1 3m 2 1 5 3m 5 2 1 5 2 1 5 2 1 3m 3m 2 1 5 3m 5 2 1 5 2 1 5 2 1 5 3m 2 1 5 3m 2 1 5 3m 2 1 5 3m 2 1
Find You On My Kness,Kari Jobe,G,G,1 2,,1 5 2 1 5 3m 5 2 1 5 2 1 5 2 1 3m 2 1 5 3m 5 2 1 5 2 1 5 2 1 3m 3m 2 1 5 3m 5 2 1 5 2 1 5 2 1 5 3m 2 1 5 3m 2,1 5 3m 2 1 5 3m 2 1,,1 2 1 5 2 1 5 3m 5 2 1 5 2 1 5 2 1 3m 2 1 5 3m 5 2 1 5 2 1 5 2 1 3m 3m 2 1 5 3m 5 2 1 5 2 1 5 2 1 5 3m 2 1 5 3m 2 1 5 3m 2 1 5 3m 2 1
Gozándome,Kari Jobe,D,D,1,,1 4 2m 4 1 1 1 4 2m 4 1 1 1 4 2m 4 1 1 1 4 2m 4 1 1 4 1 2m 4 1 4 1 2m 4 1 1 4 2m 4 1 1 1 4 2m 4 1 1,,,1 1 4 2m 4 1 1 1 4 2m 4 1 1 1 4 2m 4 1 1 1 4 2m 4 1 1 4 1 2m 4 1 4 1 2m 4 1 1 4 2m 4 1 1 1 4 2m 4 1 1
Heal Our Land,Kari Jobe,D,D,1 6m 5,,1 4 1 5 6m 4 1 5,6m 4 1 5 6m 4 1 5,,1 6m 5 1 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5
Healer,Kari Jobe,C,C,,,2 3m 4 2 4 5 1 6m 4 1 6m 5 4 5 6m 5 1 4 5 6m 5,6m 5 1 6m 5 1 6m 5 1 3 4 6m 5 5,,2 3m 4 2 4 5 1 6m 4 1 6m 5 4 5 6m 5 1 4 5 6m 5 6m 5 1 6m 5 1 6m 5 1 3 4 6m 5 5
Healer,Kari Jobe,C,C,,,2 3m 4 2 4 5 1 6m 4 1 6m 5 4 5 6m 5 1 4 5 6m 5,6m 5 1 6m 5 1 6m 5 1 3 4 6m 5 4,,2 3m 4 2 4 5 1 6m 4 1 6m 5 4 5 6m 5 1 4 5 6m 5 6m 5 1 6m 5 1 6m 5 1 3 4 6m 5 4
Healer,Kari Jobe,E,E,,,b7 1m b2 b7 b2 b3 b6 4m b2 b6 4m b3 b2 b3 4m b3 b6 b2 b3 4m b3,4m b3 b6 4m b3 b6 4m b3 b6 1 b2 4m b3 b3,,b7 1m b2 b7 b2 b3 b6 4m b2 b6 4m b3 b2 b3 4m b3 b6 b2 b3 4m b3 4m b3 b6 4m b3 b6 4m b3 b6 1 b2 4m b3 b3
Hear Us From Heaven,Kari Jobe,D,D,,,,5 2 6m 1,,5 2 6m 1
How Majestic,Kari Jobe,A,A,1 3m 2 3m 1,,5 1 5 1 3m 1 5 1,2 3m 1 5 2 3m 1 5 2 3m 1 5 2,,1 3m 2 3m 1 5 1 5 1 3m 1 5 1 2 3m 1 5 2 3m 1 5 2 3m 1 5 2
I Will Sing,Kari Jobe,A,A,1 #4 1 #4,,4 6m 3m 4 6m 3m 4 6m 3m 4 6m 5,4 6m 5 4 4 6m 5 4 6m 5 4 4 6m 5,,1 #4 1 #4 4 6m 3m 4 6m 3m 4 6m 3m 4 6m 5 4 6m 5 4 4 6m 5 4 6m 5 4 4 6m 5
I'm In Love With You,Kari Jobe,A,A,,,6m 2 5 2 3m 6m 2 2 5 5 2,1 5 6m 2 5 6m 5 1 5 2,,6m 2 5 2 3m 6m 2 2 5 5 2 1 5 6m 2 5 6m 5 1 5 2
Im Singing,Kari Jobe,Gb,Gb,1 4,,4 3 1 7 6m 1 7 1 7 6m 1 4 1 5 2m 4 1 5 2m 4,,,1 4 4 3 1 7 6m 1 7 1 7 6m 1 4 1 5 2m 4 1 5 2m 4
Jesus Lover Of My Soul Its All Abo,Kari Jobe,D,D,,1 6m 1 4 6m 5 4 1 6m 1 4 6m 1 5 4,1 6m 1 4 6m 5 4 1 6m 1 4 6m 1 5 4 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 5 4 6m 5 4 6m 5 4 1,,,1 6m 1 4 6m 5 4 1 6m 1 4 6m 1 5 4 1 6m 1 4 6m 5 4 1 6m 1 4 6m 1 5 4 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 5 4 6m 5 4 6m 5 4 1
Jesus Lover Of My Soul Its All About You,Kari Jobe,D,D,,1 6m 1 4 6m 5 4 1 6m 1 4 6m 1 5 4,1 6m 1 4 6m 5 4 1 6m 1 4 6m 1 5 4 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 5 4 6m 5 4 6m 5 4 1,,,1 6m 1 4 6m 5 4 1 6m 1 4 6m 1 5 4 1 6m 1 4 6m 5 4 1 6m 1 4 6m 1 5 4 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 5 4 6m 5 4 6m 5 4 1
Joyfully,Kari Jobe,D,D,,,1 4 2m 4 1 1 4 2m 4,4 1 2m 4 1 4 1 2m 4 1,,1 4 2m 4 1 1 4 2m 4 4 1 2m 4 1 4 1 2m 4 1
Let The Heavens Open,Kari Jobe,G,G,,,6m 5 1 6m 5 1 6m 5 1 5 6m 5 1 6m 5 1 6m 5 1 5,,,6m 5 1 6m 5 1 6m 5 1 5 6m 5 1 6m 5 1 6m 5 1 5
Let Your Glory Fall,Kari Jobe,Dm,F,6m 4 1 3m,5 6m 4 1 5 1 4 4,5 6m 4 1 5 1 4 4 1 3m 5 1m 6m 4 1 3m 5 1m 6m 4 1 3m 5 1m 6m 6m 4 1 3m 5 1m 6m 6m 4 1 3m 5 1m 6m 6m 4 6m,6m 4 1 5 6m 4 1 5 6m 4 1 5,,6m 4 1 3m 5 6m 4 1 5 1 4 4 5 6m 4 1 5 1 4 4 1 3m 5 1m 6m 4 1 3m 5 1m 6m 4 1 3m 5 1m 6m 6m 4 1 3m 5 1m 6m 6m 4 1 3m 5 1m 6m 6m 4 6m 6m 4 1 5 6m 4 1 5 6m 4 1 5
Look Upon The Lord,Kari Jobe,Em,G,6m b6 5 b6 5,,1 5 6m b6 5 2m 6m 5 2m 6m b6 5 2m 6m 5 2m 6m b6 5,2m 6m 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5,,6m b6 5 b6 5 1 5 6m b6 5 2m 6m 5 2m 6m b6 5 2m 6m 5 2m 6m b6 5 2m 6m 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5
Lord Over All,Kari Jobe,D,D,4 5 4 5,,4 1 6m 5 4 1 6m 5,4 6m 5 6m 4 6m 5 1 4 6m 5 6m 4 6m 5,,4 5 4 5 4 1 6m 5 4 1 6m 5 4 6m 5 6m 4 6m 5 1 4 6m 5 6m 4 6m 5
Love came down,Kari Jobe,C,C,1 3m 2 1 5 2,,6m 5 2 6m 5 1 5 1 3m 2 1 5 1 3m 2 1,5 1 3m 2 1,,1 3m 2 1 5 2 6m 5 2 6m 5 1 5 1 3m 2 1 5 1 3m 2 1 5 1 3m 2 1
Lover Of My Soul,Kari Jobe,F,F,1 5 3m 2 1 5 3m 2,,1 2 3m 5 1 2 3m 2 1 2 3m 5 1 2 3m 2 1 2 3m 5 1 2 3m 2,1 2 3m 5 1 2 3m 5 1 2 3m 5,,1 5 3m 2 1 5 3m 2 1 2 3m 5 1 2 3m 2 1 2 3m 5 1 2 3m 2 1 2 3m 5 1 2 3m 2 1 2 3m 5 1 2 3m 5 1 2 3m 5
Me Sanaste,Kari Jobe,E,E,1 4 6m 4 1 4 5 1 1 5 6m 4 5 6m 5 4 6m 4 5 1 6m 5 4 5 1 6m 5 4 6m 5 4,,,,,1 4 6m 4 1 4 5 1 1 5 6m 4 5 6m 5 4 6m 4 5 1 6m 5 4 5 1 6m 5 4 6m 5 4
Messiah,Kari Jobe,D,D,,,4 1 5 4 1 5 5 4 6m 5 4 1 5 4,6m 3m 4 5 6m 3m 4 5,,4 1 5 4 1 5 5 4 6m 5 4 1 5 4 6m 3m 4 5 6m 3m 4 5
Mi Mayor Pasión,Kari Jobe,D,D,b2 1 5 1 b2 6m 1 4 1 5 4 6m 5 1 4 1 5 4 1 6m 5 4m 1 6m 1 5 2m 1 5 b2 6m 5 4 6m 5 4 5 4 1 5 4 1 5 4 1 6m 5 4 1 6m 5 4 1 6m 5,,,,,b2 1 5 1 b2 6m 1 4 1 5 4 6m 5 1 4 1 5 4 1 6m 5 4m 1 6m 1 5 2m 1 5 b2 6m 5 4 6m 5 4 5 4 1 5 4 1 5 4 1 6m 5 4 1 6m 5 4 1 6m 5
Mi Salvador,Kari Jobe,Ab,Ab,1 4 6m 5 1 6m 4 6m 5 1 6m 4 6m 5 4 1 6m 5 4 1 6m 5 1 4 6m 5 1 4 6m 5 4 6m 5,,,,,1 4 6m 5 1 6m 4 6m 5 1 6m 4 6m 5 4 1 6m 5 4 1 6m 5 1 4 6m 5 1 4 6m 5 4 6m 5
Mindörökké - Forever,Kari Jobe,G,G,1 5 2m 4 1 5 2m 4,1 5 6m 2 4 1 5 6m 2 4,1 5 6m 2 4 1 5 6m 2 4 1 5 6m 4 6 1 5 6m 4 1 5 6m 2 4 1 5 6m 2 4 1 5 6m 4 6 1 5 6m 4 1 5 6m 4 6 1 5 6m 4,1 5 6m 4 1,,1 5 2m 4 1 5 2m 4 1 5 6m 2 4 1 5 6m 2 4 1 5 6m 2 4 1 5 6m 2 4 1 5 6m 4 6 1 5 6m 4 1 5 6m 2 4 1 5 6m 2 4 1 5 6m 4 6 1 5 6m 4 1 5 6m 4 6 1 5 6m 4 1 5 6m 4 1
Oh The Power,Kari Jobe,Bbm,C#,6m 5 1 4,,1 6m 5 1 4 6m 5 5 5 5 1 6m 5 1 4 6m 5 5 5 5,5 5 4 6m 5 1 4 6m 5 1 4 6m 5,,6m 5 1 4 1 6m 5 1 4 6m 5 5 5 5 1 6m 5 1 4 6m 5 5 5 5 5 5 4 6m 5 1 4 6m 5 1 4 6m 5
On The Throne,Kari Jobe,Em,G,6m 4 1 1,,1 4 1 5 6m 4 1 5,2m 1 6m 5 2m 1 6m 5 2m 1 6m 5 1 6m 5,,6m 4 1 1 1 4 1 5 6m 4 1 5 2m 1 6m 5 2m 1 6m 5 2m 1 6m 5 1 6m 5
On The Throne,Kari Jobe,Em,G,6m 4 1 1,,1 4 1 5 6m 4 1 5,2m 1 6m 5 2m 1 6m 5 2m 1 6m 5 1 6m 5,,6m 4 1 1 1 4 1 5 6m 4 1 5 2m 1 6m 5 2m 1 6m 5 2m 1 6m 5 1 6m 5
One Desire,Kari Jobe,D,D,b2 1 5,,4 1 6m b6 4 1 6m b6,4 1 6m b6,,b2 1 5 4 1 6m b6 4 1 6m b6 4 1 6m b6
Only Your Love,Kari Jobe,C#m,E,6m 4 1 3m,4 5 4 5,4 5 4 5 4 1 6m 5 4 1 6m 5 4 1 6m 5,2m 6m 1 2m 6m 5,,6m 4 1 3m 4 5 4 5 4 5 4 5 4 1 6m 5 4 1 6m 5 4 1 6m 5 2m 6m 1 2m 6m 5
Por Siempre (Forever),Kari Jobe,G,G,,1 5 6m 4 1 5 6m 4,1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4,,,1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4
Pure,Kari Jobe,E,E,,,1 5 6m 4 1 5 6m 4,,,1 5 6m 4 1 5 6m 4
Revelation Song,Kari Jobe,D,D,,,1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4,,,1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4 1 5m b7 4
Revelation Song,Kari Jobe,C,C,,,2 6m 1 5 2 6m 1 5 2 6m 1 5 2 6m 1 5 2 6m 1 5 2 6m 1 5,,,2 6m 1 5 2 6m 1 5 2 6m 1 5 2 6m 1 5 2 6m 1 5 2 6m 1 5
Rise,Kari Jobe,G,G,1 1 1,,1 1 5 6m 4 1 1 6m 4 1 1 5 1 5 6m 4 1,6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 4,,1 1 1 1 1 5 6m 4 1 1 6m 4 1 1 5 1 5 6m 4 1 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 4
Run To You,Kari Jobe,Gb,Gb,1 5 6m 1 4 5 6m 1 4 5,,1 5 6m 4 1 4 5 6m 1 4 6m 1 4 5 1 5 6m 4 1 4 5 1 5 6m 4 1 4 5 4 1 5 1 4 1 5 4 1 5 1 4 1 5 1 5 6m 4 1 4 5 1 5 6m 4 1 4 5 1 5 6m 4 1,,,1 5 6m 1 4 5 6m 1 4 5 1 5 6m 4 1 4 5 6m 1 4 6m 1 4 5 1 5 6m 4 1 4 5 1 5 6m 4 1 4 5 4 1 5 1 4 1 5 4 1 5 1 4 1 5 1 5 6m 4 1 4 5 1 5 6m 4 1 4 5 1 5 6m 4 1
Sanctuary,Kari Jobe,A,A,1 4 1 4 1 4 1 4 1 4 1 4,5 4 5 4 6m 5 6m 5,5 4 5 4 6m 5 6m 5 1 2m 1 4 1 2m 1 4 1 4,5 4 1 5 1 2m 1 4 1 2m 1 4,,1 4 1 4 1 4 1 4 1 4 1 4 5 4 5 4 6m 5 6m 5 5 4 5 4 6m 5 6m 5 1 2m 1 4 1 2m 1 4 1 4 5 4 1 5 1 2m 1 4 1 2m 1 4
Saviors Here,Kari Jobe,F,F,1 4 6m b6,4 1 6m b6,4 1 6m b6 1 4 6m b6 1 4 6m b6 4 1,4 1 2m 6m b6,,1 4 6m b6 4 1 6m b6 4 1 6m b6 1 4 6m b6 1 4 6m b6 4 1 4 1 2m 6m b6
Singing Over Me,Kari Jobe,Bm,D,,b7 1 b7 1,b7 1 b7 1 4 5m b7 1 4 5m b7 1 b7 1 b7 1 4 5m b7 1 4 5m b7 1 4 5m b7 1 4 5m b7 1 b7 1 b7 1 b7 1 6m b7,b7 1 b7 1 b7 1 b7 1,,b7 1 b7 1 b7 1 b7 1 4 5m b7 1 4 5m b7 1 b7 1 b7 1 4 5m b7 1 4 5m b7 1 4 5m b7 1 4 5m b7 1 b7 1 b7 1 b7 1 6m b7 b7 1 b7 1 b7 1 b7 1
Somos La Luz,Kari Jobe,G,G,1 5 b3 1 5 b3 1 5 b3 1 5 3m b3 1 5 b3 6 3m b3 5 1 5 3m 1 5 3m 1 5 3m 1 5 3m 1 1 5 b3 1 5 b3 1 5 b3 1 5 b3 6 1 5 b3 3m 1 5 b3 3m 1 5 b3 3m 1 5 b3 2 5 3m 1 5 3m 1 5,,,,,1 5 b3 1 5 b3 1 5 b3 1 5 3m b3 1 5 b3 6 3m b3 5 1 5 3m 1 5 3m 1 5 3m 1 5 3m 1 1 5 b3 1 5 b3 1 5 b3 1 5 b3 6 1 5 b3 3m 1 5 b3 3m 1 5 b3 3m 1 5 b3 2 5 3m 1 5 3m 1 5
Speak To Me,Kari Jobe,Am,C,,,5 2 3m 1 5 2 3m 1 6m 5 3m 6m 5 3m 2,,,5 2 3m 1 5 2 3m 1 6m 5 3m 6m 5 3m 2
Stars In The Sky,Kari Jobe,F,F,5 1 3m 2,,3m 5 1 2 3m 5 1 2 1 5 2 3m 2 5 1 2,1 3m 2 1 3m 2 2 1 3m 2 1 2 1 2 3m 5 1 2 3m 5 1 2,,5 1 3m 2 3m 5 1 2 3m 5 1 2 1 5 2 3m 2 5 1 2 1 3m 2 1 3m 2 2 1 3m 2 1 2 1 2 3m 5 1 2 3m 5 1 2
Steady My Heart,Kari Jobe,C,C,,6m 5 4,6m 5 4 1 1 3m 4 1 1 3m 4 1 1 3m 4,5 3m 4 5 3m 4 1 1 3m 4,,6m 5 4 6m 5 4 1 1 3m 4 1 1 3m 4 1 1 3m 4 5 3m 4 5 3m 4 1 1 3m 4
Sweep Me Alway,Kari Jobe,E,E,4 1 b7 b7 1,,4 1 b7 4 1 4 1 b7 4 1 4 1 b7 b7 1 4 1 b7 4 1 4 1 b7 4 1 4 1 b7 4 1 4 1 b7 4 1 4 1 b7 b7 1,4 1 b7 1 4 1 b7 2m 1 4 1 5m 2m 4 1 b7 b7,,4 1 b7 b7 1 4 1 b7 4 1 4 1 b7 4 1 4 1 b7 b7 1 4 1 b7 4 1 4 1 b7 4 1 4 1 b7 4 1 4 1 b7 4 1 4 1 b7 b7 1 4 1 b7 1 4 1 b7 2m 1 4 1 5m 2m 4 1 b7 b7
Tú Eres Para Mí,Kari Jobe,G,G,1 5 6m 4,,1 5 5 6m 4 1 5 6m 4 1 5 5 6m 4 1 5 6m 4 1 5 5 6m 4 1 5 6m 4,,,1 5 6m 4 1 5 5 6m 4 1 5 6m 4 1 5 5 6m 4 1 5 6m 4 1 5 5 6m 4 1 5 6m 4
The Blessing,Kari Jobe,B,B,,,6m b7 4 b7 1 b7 5 6m b7 4 b7 1 b7 5,6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5,,6m b7 4 b7 1 b7 5 6m b7 4 b7 1 b7 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5
The Cause Of Christ,Kari Jobe,A,A,1 5 2m 6m,,4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 1 5 2m 6m 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 6m 1 4 1 6m 5 1 1 5 2m 6m,2m 6m 1 5 2m 6m 1 5,,1 5 2m 6m 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 1 5 2m 6m 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 6m 1 4 1 6m 5 1 1 5 2m 6m 2m 6m 1 5 2m 6m 1 5
The Cause Of Christ,Kari Jobe,A,A,1 5 2m 6m,,4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 6m 1 4 1 6m 5 1,2m 6m 1 5 2m 6m 1 5 2m 6m 1 5 2m 6m 1 5 2m 6m 1 5 2m 6m 1 5,,1 5 2m 6m 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 1 4 1 6m 5 6m 1 4 1 6m 5 1 2m 6m 1 5 2m 6m 1 5 2m 6m 1 5 2m 6m 1 5 2m 6m 1 5 2m 6m 1 5
