Song Title,Artist,Song Key,Intro,Pre-Chorus,Chorus,Bridge,Outro
Let Us Adore,Elevation Worship,A,       ,,D E A D D E A                                ,A F#m E D A A F#m E D A            ,
Lift Us Out,Elevation Worship,C,       ,,F C Am G F Db G F C Am G F Db G                                ,C G F G C Dm Am F            ,
Lo Harás Otra Vez (Do It Again),Elevation Worship,C,C G/B C G/B C G/B C G C G/B C G C/E D/Gb G C C/E D/Gb G C G/B C G/B C G/B C G C G/B C G C/E D/Gb G C C/E D/Gb G C C/E D/Gb G C C/E D/Gb G C G/B C G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G C/E D/Gb G C C/E D/Gb G C C/E D/Gb G C C/E D/Gb G C G/B C       ,,                                ,            ,
Look How He Lifted Me,Elevation Worship,G,G Em C  Am C D     ,, Em C G Em C G D Em C G C D Em C G Em C G D Em C G C                              ,C G D C G D            ,
Mercy Reigns,Elevation Worship,Em,Em C G C       ,,G C Em C G C Em C                                ,Am C G D C            ,
Mighty Cross,Elevation Worship,G,G/B C D G/B C D       ,, D C D C D Em C G/B D G/B C D G/B C D D G/B C D/F# G C D Em C G/B D G D G/B C D/F# G C D Em C G/B D Em  D G/B C D/F# G C D Em C G/B D G                           ,G/B C G/D D C Em D G/B C G/D D C D G            ,
Mighty Warrior,Elevation Worship,C,C G Am F       ,,C G Am F C G Am F C G Am F C G Am F                                ,F C G Am F C G Dm F C G Am F            ,
NEVER LOST,Elevation Worship,Eb,Eb Eb       ,Fm Eb/G Ab Fm Eb/G Ab Bb,Fm Eb/G Ab Fm Eb/G Ab Bb Eb Bb/D Cm Bbm Eb5 Ab Ab Eb/G Fm Eb/G Ab Bb Ab/C Bb/D Eb Bb/D Cm Bbm Eb5 Ab Ab Eb/G Fm Eb/G Ab Bb Ab/C Bb/D Eb Eb Csus2/D G Cm Bbm Eb5 Ab Ab Eb/G Fm Eb/G Ab Bb Ab/C Bb/D                             ,Fm Eb/G Ab Fm Eb/G Ab Fm Eb/G Ab Fm Eb/G Ab            ,
NEVER LOST,Elevation Worship,C,       ,Dm C/E F Dm C/E F G,Dm C/E F Dm C/E F G C G/B Am7 Gm7 C F C/E Dm C/E F G Fm/G G/B Am7 Gm7 C F C/E Dm C/E F G C C Dm/B E Am7 Gm7 C F C/E Dm C/E F G Ab Eb/G Fm Eb/G Ab Bb Ab/C Bb/D Eb Bb/D Cm Bbm Eb5 Ab Ab Eb/G Fm Eb/G Ab Bb Ab/C Bb/D Eb Eb Csus2/D G Cm Bbm Eb5 Ab Ab Eb/G Fm Eb/G Ab Bb Ab/C Bb/D                            ,Fm Eb/G Ab Fm Eb/G Ab Fm Eb/G Ab Fm Eb/G Ab            ,
No Vas A Parar (Unstoppable God),Elevation Worship,E,E F#m D E F#m D E F#m D E F#m D E F#m D E F#m D E F#m D E F#m D E F#m D E F#m D A Bm7 F#m D A Bm7 F#m D E F#m D E F#m D E F#m D E F#m D E F#m D E F#m D E F#m D E F#m D A Bm7 F#m D A Bm7 F#m D A Bm7 F#m D A Bm7 F#m D A A/C# D E F#m D A A/C# D E F#m A D A A/C# D E F#m A D A A/C# D E F#m A D A A/C# D E F#m A D A A/C# D E F#m D A Bm7 F#m D A Bm7 F#m D A Bm7 F#m D A Bm7 F#m D       ,,                                ,            ,
None,Elevation Worship,G,G Am F C       ,,Gm7 F C Gm F C Gm7 F C Gm7 F C Gm7 F C Gm7 F C Gm7 F C Gm7 F C                              ,A# F C C A# F C C            ,
Nothing Is Wasted,Elevation Worship,C,C G D       ,, Em C G D Em C G D Em C G D Em C G D C G D Em C G D Em C G D Em C G D Em C Am G D Am G D                              ,Am G/B D Am G D Am G/B D Em C G D            ,
O Come to the Altar,Elevation Worship,B,B E B E       ,,B C#m G#m E B G#m G#m E B                                ,G#m B G#m E B G#m B G#m E B            ,
O Come to the Altar,Elevation Worship,B,B E B E       ,,B C#m G#m E B C#m G#m E B                                ,G#m B G#m E B G#m B G#m E B            ,
O Come to the Altar,Elevation Worship,B,B E B E       ,,B C#m G#m E B B C#m G#m E B                                ,B G#m E B B G#m E B            ,
O Come to the Altar,Elevation Worship,B,B E B E       ,,B C#m G#m E B C#m G#m E B                                ,G#m B G#m E B G#m B G#m E B            ,
O Come to the Altar,Elevation Worship,C,B E B E       ,,B Dbm Abm E B Abm Abm E B B Dbm Abm E B Abm Abm E B B Dbm Abm E B Abm Abm E B                              ,Abm B Abm E B Abm B Abm E B            ,
O Come to the Altar,Elevation Worship,B,B E B E       ,,B C#m G#m E B G#m G#m E B B C#m G#m E B G#m G#m E B                               ,G#m B G#m E B G#m B G#m E B            ,
O Come to the Altar,Elevation Worship,B,B E B E       ,,B C#m G#m E B G#m G#m E B                                ,G#m B G#m E B G#m B G#m E B            ,
O Come to the Altar,Elevation Worship,B,B E B E       ,,B C#m G#m E B B C#m G#m E B                                ,B G#m E B B G#m E B            ,
O Come to the Altar,Elevation Worship,B,B E B E       ,,B C#m G#m E B G#m G#m E B E B E                                ,G#m B G#m E B G#m B G#m E B            ,
O Come to the Altar,Elevation Worship,B,B E B E       ,,B C#m G#m E B G#m G#m E B                                ,G#m B G#m E B G#m B G#m E B            ,
Oh Sing,Elevation Worship,G,G A D/F# G       ,,G A D/F# G G A D/F# G G A D/F# G                                ,G A D/F# G G A D/F# G            ,
Only King Forever,Elevation Worship,C,C Am7 F C       ,,C C/E F2 C/G F2 C                                ,Dm C G Dm C G Dm C G Dm C G Dm            ,
Only King Forever,Elevation Worship,C,       ,,                                ,            ,
Only Love,Elevation Worship,Eb,Eb Gm F       ,Eb Gm F Eb Gm F,Eb Gm F Eb Gm F Bb Cm Gm Eb Bb Cm Gm Eb Gm Eb Gm F                               ,Eb Gm F Cm Eb Gm F Cm Eb Gm F Cm Eb Gm F            ,
Open Up Our Eyes,Elevation Worship,G,       ,C G D C G D,C G D C G D C G D Em C G D C G D C G D C G D Em C G D C G D C G D  C G D Em C G D                          ,Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D C           ,
Our King Has Come,Elevation Worship,F,       ,,                                ,            ,
Overcome,Elevation Worship,A,A E D A E D       ,,D A E D A F#m D A E D A D A E D A F#m D A E D A D A E D A F#m D A E D A D A E D A F#m D A E D A F#m                              ,A D F#m D A D F#m D            ,
Overcome,Elevation Worship,E,B F# E B F# E       ,,E B F# E B G#m E B F# E B E B F# E B G#m E B F# E B E B F# E B G#m E B F# E B E B F# E B G#m E B F# E B G#m                              ,B E G#m E B E G#m E            ,
Overcome,Elevation Worship,A,A E D A E D       ,,D A E D A F#m D A E D A D A E D A F#m D A E D A D A E D A F#m D A E D A                              ,            ,
Paradoxology,Elevation Worship,G,       ,,C G C G C D G C D G C D G C D G C D G C D G C G C G C G C G                              ,C D Em G/B C D Em G C D Em G/B C D Em G C D Em G/B C D Em G C D Em D C            ,
Power,Elevation Worship,Em,Em C G/B D D/F#       ,,Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D                              ,Em D G/B C Em D G/B C            ,
Praise Goes On,Elevation Worship,F,       ,,C Dm Am F C Dm Am F C/E F C G                                ,C/E F C G C/E F C G            ,
Raised To Life,Elevation Worship,C,       ,,G F C F Am F G Am G C F C F C                                ,C F C F C G F C G F  C G F C G F          ,
RATTLE !,Elevation Worship,Eb,       ,, Eb Ab G Eb Eb Ab G Eb Cm Bb Ab Eb Eb Ab G Eb Eb Ab G Eb Eb Ab G Eb Cm Bb Ab Eb Cm Bb Ab Eb Cm Bb Ab Eb Eb Ab G Eb                              , Eb Ebsus4 Eb Ebsus4 Eb Ebsus4 Eb Ebsus4 Eb Ebsus4 Ab G Eb Ab G Eb Ab G Eb Ab G Eb Ab G Eb Ab G Eb Cm Bb Ab          ,
Resurrecting,Elevation Worship,F,       ,,F C G F C G F C G F C G                                ,F C G C/E F Csus G F C G C/E F Csus G F            ,
Resurrecting,Elevation Worship,C,       ,,F C G F C G F C G F C G                                ,F C G C/E F Csus G F C G C/E F Csus G F            ,
