Track name,Artist name,Album,Playlist name,Type,ISRC
"Elevation Worship - Our King Has Come (Live)","","","Worship","Playlist",""
"Gateway Worship · Kirsten Takape - My Everything","","","Worship","Playlist",""
"Citizens · Zach Bolen - Nothing but the Blood","","","Worship","Playlist",""
"Kari Jobe - Forever (Live)","","","Worship","Playlist",""
"Marathon Church - God Be Praised (Live)","","","Worship","Playlist",""
"Gateway Worship · Kari Jobe - O, the Blood (feat. Kari Jobe) (Live)","","","Worship","Playlist",""
"Passion · Charlie Hall - All The Earth (Live)","","","Worship","Playlist",""
"Jesus Culture Band/Chris Quilala - Dance With Me","","","Worship","Playlist",""
"Jesus Culture · Kim Walker-Smith - Holy (Live)","","","Worship","Playlist",""
"Fearless BND - Power Of Your Love","","","Worship","Playlist",""
"Bethel Music & Brian Johnson - You Have Won Me","","","Worship","Playlist",""
"New Life Worship - My Savior Lives","","","Worship","Playlist",""
"Forerunner Music · Jaye Thomas · Cory Asbury - Shekinah (Live)","","","Worship","Playlist",""
"Bethel Music & Jenn Johnson - Come to Me","","","Worship","Playlist",""
"Bethel Music & Steffany Frizzell Gretzinger - You Know Me","","","Worship","Playlist",""
"Bethel Music & Jeremy Riddle - Fall Afresh","","","Worship","Playlist",""
"Bethel Music · Matt Stinton - This Is What You Do","","","Worship","Playlist",""
"Frontline Worship - I Call You Jesus","","","Worship","Playlist",""
"Israel & New Breed - I Call You Jesus (Live)","","","Worship","Playlist",""
"Bethel Music & Amanda Cook - You Make Me Brave (Live)","","","Worship","Playlist",""
"Jonny Lang - That Great Day","","","Worship","Playlist",""
"Darlene Zschech - In Jesus' Name (Live)","","","Worship","Playlist",""
"Hillsong Young & Free · Aodhán King - Sinking Deep (Live)","","","Worship","Playlist",""
"Hillsong Worship · Hannah Hobbs - Thank You Jesus","","","Worship","Playlist",""
"Marathon Church - Your Great Name (Live)","","","Worship","Playlist",""
"Marathon Church - The Voice (Live)","","","Worship","Playlist",""
"Hillsong Worship · Matt Crocker - I Surrender (Live)","","","Worship","Playlist",""
"Eddie James - Freedom","","","Worship","Playlist",""
"Eddie James - I'm Addicted","","","Worship","Playlist",""
"New Life Worship · Integrity's Hosanna! Music · Desperation Band · Ross Parsley - Yahweh (Live)","","","Worship","Playlist",""
"Kari Jobe - Only Your Love (Live)","","","Worship","Playlist",""
"Chris Tomlin - Jesus Loves Me","","","Worship","Playlist",""
"Martin Smith · Sarah Bird - Waiting Here For You (feat. Sarah Bird)","","","Worship","Playlist",""
"Chris Tomlin - I Will Rise","","","Worship","Playlist",""
"Aaron Keyes - Dwell","","","Worship","Playlist",""
"Vertical Worship - He Has Won","","","Worship","Playlist",""
"Chris Tomlin - Almighty","","","Worship","Playlist",""
"Hillsong Young & Free · Aodhán King - In Sync (Live)","","","Worship","Playlist",""
"Rend Collective - Alabaster","","","Worship","Playlist",""
"Jesus Pursuit Church - I Am (feat. Angela Pinkston)","","","Worship","Playlist",""
"Hillsong UNITED - Oceans (Where Feet May Fail) (Radio Version)","","","Worship","Playlist",""
"Big Daddy Weave - Overwhelmed","","","Worship","Playlist",""
"Michael W. Smith - Rise","","","Worship","Playlist",""
"Elevation Worship - We Rejoice","","","Worship","Playlist",""
"Starfield - Filled With Your Glory","","","Worship","Playlist",""
"Maranatha! Praise Band - Jesus Messiah","","","Worship","Playlist",""
"Hillsong Young & Free · Melodie Wagner - The Stand","","","Worship","Playlist",""
"Michaela McLaird - Gave It All","","","Worship","Playlist",""
"Elevation Worship - Only King Forever","","","Worship","Playlist",""
"William McDowell · Danny Gokey - Sovereign God","","","Worship","Playlist",""
"Integrity's Hosanna! Music · Covenant Worship · Nicole Binion · Israel Houghton - Risen (Live)","","","Worship","Playlist",""
"Bethel Music & Amanda Cook - Shepherd (Live)","","","Worship","Playlist",""
"Elevation Worship - Jesus I Come","","","Worship","Playlist",""
"Elevation Worship - Greater","","","Worship","Playlist",""
"Heaven and Earth - Hillsong Worship","","","Worship","Playlist",""
"Elevation Worship - Ever Glorious","","","Worship","Playlist",""
"Elevation Worship - Unstoppable God","","","Worship","Playlist",""
"Elevation Worship - The King Is Among Us","","","Worship","Playlist",""
"Housefires - Rise","","","Worship","Playlist",""
"Housefires - Heaven Is All Around Us","","","Worship","Playlist",""
